1,Newsroom Content Manager,automotive,Contract,Mid-Senior level,Design Writing/Editing Other,Franklin\, Tennessee,14
2,Marketing &amp; Digital Strategy Specialist,north-carolina-community-federal-credit-union,Full-time,Entry level,Marketing Public Relations Strategy/Planning,Goldsboro\, North Carolina Area,0
3,Analytics Software Engineer,duetto-research,Full-time,Associate,Engineering,San Francisco\, California,10
4,Head Of Product Management,signifyd,Full-time,Director,Product Management Management,San Jose\, California,12
5,Writer/Producer,msg-networks,Full-time,Associate,Marketing,New York\, New York,36
6,Commercial Insurance Analyst - Real Estate Finance,,,,,,0
7,Assistant Account Executive - Public Relations,olson,Full-time,Entry level,Public Relations,New York\, New York,47
8,Detention Officer (8990),santa-fe-county,Full-time,Entry level,Other Information Technology Management,Santa Fe\, NM\, US,0
9,Quality Engineer,instron,Full-time,Not Applicable,Quality Assurance,Norwood\, MA\, US,0
10,Revenue Accountant,fortune-500-company,Full-time,Associate,Accounting/Auditing,San Francisco\, California,3
11,Research Analyst,decisionquest,Full-time,Entry level,Analyst,Torrance\, California,5
12,QA/Business Analyst,myron-steves,Full-time,Not Applicable,Information Technology Quality Assurance Analyst,Greater Seattle Area,7
13,Technical Marketing Engineer - Semi,,,,,,0
14,Portfolio Implementation Analyst.,rbc-wealth-management,Full-time,Mid-Senior level,Information Technology,Minneapolis\, MN\, US,0
15,Video Editor,the-creative-group,Full-time,Associate,Management Manufacturing,Woodbridge\, NJ\, US,0
16,Customer Success Manager,entratasoftware,Full-time,Not Applicable,Management,Provo\, Utah Area,4
17,Project Management Program Assistant Intern,,,,,,10
18,Control Systems Engineer II,vertech-industrial-systems-llc,Full-time,Not Applicable,Engineering Information Technology,Phoenix\, AZ\, US,0
19,Soccer Statistics Position,inplay-sports-data,Full-time,Not Applicable,Other,Jacksonville\, FL\, US,0
20,Web Application Developer,oneweb-ltd,Full-time,Entry level,Engineering Information Technology,McLean\, VA\, US,8
21,Civil Engineer,,,,,,9
22,Tides: Communications Coordinator,tides,Temporary,Not Applicable,Marketing Public Relations,San Francisco Bay Area,3
23,Asset Management Intern,carmel-partners,Part-time,Internship,Other,San Francisco,9
24,Business Intelligence Analyst,bojangles'?-restaurants-inc-,Full-time,Not Applicable,Analyst Information Technology Finance,Charlotte\, North Carolina Area,2
25,Network Engineer,avid-solutions,Full-time,Mid-Senior level,Engineering Information Technology Manufacturing,Raleigh-Durham\, North Carolina Area,3
26,Epic OpTime Anesthesia Support Analyst,ap-professionals,Contract,Associate,Information Technology Health Care Provider Analyst,Phoenix\, Arizona Area,5
27,Event Project Manager,,,,,,37
28,Beer Hall Sentry,surly-brewing-co-,Full-time,Not Applicable,Other,Minneapolis\, MN\, US,0
29,Digital eCommerce Front-End Web Developer,ballard-designs,Full-time,Associate,Information Technology,Atlanta\, Georgia,3
30,Chief operating officer,triple-creek-associates,Full-time,Executive,Business Development Sales,Huntsville\, AL\, US,0
31,Development Housing Project Manager,the-core-companies,Full-time,Mid-Senior level,Project Management,San Jose\, California,1
32,Employee Benefits - Digital Content Manager,integro-insurance-brokers,Full-time,Associate,Marketing Art/Creative Advertising,Greater Atlanta Area,6
33,Development Manager - Peer to Peer Fundraising,shatterproof,Full-time,Mid-Senior level,Strategy/Planning Sales Business Development,Greater Boston Area,5
34,Executive Assistant,iou-financial-inc-,Full-time,Associate,Administrative Project Management,Kennesaw\, Georgia,12
35,Paralegal,mcgivney-&-kluger-pc,Full-time,Not Applicable,Legal,Greater New York City Area,10
36,Director of Strategic Sourcing,ajilon,Full-time,Mid-Senior level,Purchasing Strategy/Planning Supply Chain,Greater Chicago Area,9
